"","Bank_Name","city_name","employees"
"310","Sparda-Bank West","Dusseldorf","885"
"311","Sparkasse Dortmund","Dortmund","1,500"
"312","Sparkasse Essen","Essen","1,291"
"313","Sparkasse Oberösterreich","Linz","965"
"314","SPD Bank","Shanghai","60,000"
"315","St. Galler Kantonalbank","St. Gallen","1,319"
"316","Stadtsparkasse München","Munich","2,584"
"317","Standard Chartered","London","84,740"
"318","Starling Bank","London","2,050"
"319","State Bank of India","Mumbai","245,652"
"320","Steiermärkische Sparkasse","Graz","3,009"
"321","St.George Bank","Sydney","5,000"
"322","Stockman Bank","Billings","800"
"323","Sumitomo Mitsui Banking Corporation","Tokyo","28,012"
"324","Suncorp","Brisbane","13,000"
"325","SunTrust Banks","Charlotte","164,497"
"326","Synovus","Columbus","5,389"
"327","Taipei Fubon Bank","Taipei","7,428"
"328","Taishin International Bank","Taipei ","10,000"
"329","Tangerine","Toronto","1,212"
"330","TARGOBANK","Dusseldorf","2,000"
"331","TD","Toronto","90,000"
"332","TD Bank","Cherry Hill","25,000"
"333","Techcombank","Hanoi","12,000"
"334","The co-operative bank","Manchester","2,827"
"335","The Juhachi-Shinwa Bank","Nagasaki City","2,074"
"336","Thurgauer Kantonalbank","Weinfelden","826"
"337","Tiroler Sparkasse","Innsbruck","333"
"338","TMB Bank","Tamilnadu","15,102"
"339","TossBank","Seoul","381"
"340","TPBank","Hanoi",""
"341","Triodos Bank","Driebergen-Rijsenberg","1,715"
"342","Trustmark","Jackson","2,856"
"343","TymeBank","Johannesburg","505"
"344","U Bank","Melbourne","310"
"345","UBL","Karatschi","13,233"
"346","UCO Bank","Kolkata","21,617"
"347","Umpqua Bank","Portland","3,774"
"348","UniCredit","Milano","78,571"
"349","Union Bank of India","Mumbai","78,202"
"350","Union Bank (Philippines)","Pasig City",""
"351","Union Bank & Trust (UBT)","Lincoln","879"
"352","United Bankshares","Washington","3,000"
"353","United Community Bank","Greenville","2,438"
"354","United Overseas Bank","Singapore","24,346"
"355","U.S. Bank","Minneapolis","70,000"
"356","USAA","San Antonio","36,000"
"357","Valiant","Bern","1,100"
"358","Valley National Bank","New York","3,192"
"359","Varo","San Francisco","576"
"360","VIB","Ho Chi Minh City","11,000"
"361","Vietcombank","Hanoi","20,062"
"362","Vietinbank","Hanoi","25,154"
"363","Volkswagen Bank","Braunschweig","3,500"
"364","Washington Trust Bank","Spokane","1,140"
"365","WesBanco","Wheeling","2,705"
"366","Widiba","Milano","234"
"367","WiZink","Madrid",""
"368","Woodforest National Bank","The Woodlands","4,374"
"369","Woori Financial Group","Seoul","26,000"
"370","WSFS Bank","Wilmington","1,736"
"371","Yamaguchi Bank","Shimonoseki City","4,415"
"372","Yorkshire Bank","Leeds","7,415"
"373","Zuger Kantonalbank","Zug","480"
"374","Zürcher Kantonalbank","Zurich","4,944"
